year,state_name,state_code,district_name,district_code,block_name,block_code,num_joint_acc_of_women,num_total_acc_of_women,num_women_beneficiary_worker_with_acc,num_women_beneficiary_active_worker_with_acc
2019-2020,Andhra Pradesh,28,Annamayya,753,Kambhamvaripalle,4766,0,6189,5780,4575
2019-2020,Andhra Pradesh,28,Chittoor,503,Karvetinagar,4767,0,7223,7407,6411
2019-2020,Andhra Pradesh,28,Chittoor,503,Kuppam,4768,6,12993,12213,8985
2019-2020,Andhra Pradesh,28,Annamayya,753,Kurabalakota,4769,0,5373,5435,4397
2019-2020,Andhra Pradesh,28,Annamayya,753,Madanapalle,4770,3,7494,6899,5149
2019-2020,Andhra Pradesh,28,Annamayya,753,Mulakalacheruvu,4771,1,8853,8713,7736
2019-2020,Andhra Pradesh,28,Tirupati,752,Nagalapuram,4772,0,7178,6948,5903
2019-2020,Andhra Pradesh,28,Chittoor,503,Nagari,4773,2,7276,7104,5979
2019-2020,Andhra Pradesh,28,Tirupati,752,Narayanavanam,4774,0,6946,7506,6120
2019-2020,Andhra Pradesh,28,Annamayya,753,Nimmanapalle,4775,0,5164,5795,4475
2019-2020,Andhra Pradesh,28,Chittoor,503,Nindra,4776,2,5871,6410,5802
2019-2020,Andhra Pradesh,28,Tirupati,752,Pakala,4777,1,6719,6029,4697
2019-2020,Andhra Pradesh,28,Chittoor,503,Palamaner,4778,0,4144,5067,3908
2019-2020,Andhra Pradesh,28,Chittoor,503,Palasamudram,4779,0,3761,3983,3583
2019-2020,Andhra Pradesh,28,Chittoor,503,Pedda Panjani,4781,0,7786,7397,5821
2019-2020,Andhra Pradesh,28,Annamayya,753,Peddamandyam,4780,4,7624,7598,6573
2019-2020,Andhra Pradesh,28,Annamayya,753,Peddathippasamudram,4782,0,8298,7150,5619
2019-2020,Andhra Pradesh,28,Chittoor,503,Penumuru,4783,0,6548,7158,5512
2019-2020,Andhra Pradesh,28,Tirupati,752,Pichatur,4785,0,5985,5870,4732
2019-2020,Andhra Pradesh,28,Annamayya,753,Pileru,4784,0,7591,8827,6878
2019-2020,Andhra Pradesh,28,Chittoor,503,Pulicherla,4786,1,7034,8197,6941
2019-2020,Andhra Pradesh,28,Chittoor,503,Punganur,4787,0,7736,10014,7546
2019-2020,Andhra Pradesh,28,Chittoor,503,Puthalapattu,4788,0,5552,6539,4409
2019-2020,Andhra Pradesh,28,Tirupati,752,Puttur,4789,0,4547,4159,3596
2019-2020,Andhra Pradesh,28,Chittoor,503,Rama Kuppam,4791,8,12207,13393,12021
2019-2020,Andhra Pradesh,28,Tirupati,752,Ramachandrapuram,4790,0,6659,6612,5268
2019-2020,Andhra Pradesh,28,Annamayya,753,Ramasamudram,4792,0,6279,7135,5712
2019-2020,Andhra Pradesh,28,Tirupati,752,Renigunta,4793,0,5994,4330,3637
2019-2020,Andhra Pradesh,28,Chittoor,503,Rompicherla,4794,0,5603,7221,6090
2019-2020,Andhra Pradesh,28,Chittoor,503,Santhi Puram,4795,1,11404,11943,9119
2019-2020,Andhra Pradesh,28,Tirupati,752,Satyavedu,4796,0,8590,9374,7816
2019-2020,Andhra Pradesh,28,Chittoor,503,Sodam,4797,0,5954,6836,5482
2019-2020,Andhra Pradesh,28,Chittoor,503,Somala,4798,0,6384,7432,5961
2019-2020,Andhra Pradesh,28,Tirupati,752,Srikalahasti,4799,4,10718,11038,8490
2019-2020,Andhra Pradesh,28,Chittoor,503,Srirangarajapuram,4800,0,7175,7802,6978
2019-2020,Andhra Pradesh,28,Annamayya,753,Thamballapalle,4801,0,6996,7259,6256
2019-2020,Andhra Pradesh,28,Chittoor,503,Thavanampalle,4802,0,6869,6193,4450
2019-2020,Andhra Pradesh,28,Tirupati,752,Thottambedu,4803,0,8147,8598,6741
2019-2020,Andhra Pradesh,28,Tirupati,752,Tirupati Rural,4804,0,5901,6982,4992
2019-2020,Andhra Pradesh,28,Tirupati,752,Tirupati Urban,4804,0,5901,6982,4992
2019-2020,Andhra Pradesh,28,Tirupati,752,Vadamalapeta,4806,0,6263,5950,5039
2019-2020,Andhra Pradesh,28,Tirupati,752,Varadaiahpalem,4808,1,6238,6985,5414
2019-2020,Andhra Pradesh,28,Annamayya,753,Vayalpad,4807,1,6628,7225,5543
2019-2020,Andhra Pradesh,28,Chittoor,503,Veduru Kuppam,4809,0,7881,8263,6975
2019-2020,Andhra Pradesh,28,Chittoor,503,Venkatagiri Kota,4810,0,11322,12700,9586
2019-2020,Andhra Pradesh,28,Chittoor,503,Vijaya Puram,4811,0,6833,6710,5720
2019-2020,Andhra Pradesh,28,Chittoor,503,Yadamari,4812,1,5997,6881,4900
2019-2020,Andhra Pradesh,28,Tirupati,752,Yerpedu,4813,0,9024,9022,6931
2019-2020,Andhra Pradesh,28,Tirupati,752,Yerravaripalem,4814,1,5659,6303,5537
2019-2020,Andhra Pradesh,28,Alluri Sitharama Raju,745,Addateegala,4865,0,9650,7978,7112
2019-2020,Andhra Pradesh,28,Konaseema,747,Ainavilli,4866,1,9150,9617,7549
2019-2020,Andhra Pradesh,28,Konaseema,747,Alamuru,4867,1,7198,6731,3954
2019-2020,Andhra Pradesh,28,Konaseema,747,Allavaram,4868,2,9092,7470,5219
2019-2020,Andhra Pradesh,28,Konaseema,747,Amalapuram,4869,0,10160,9015,6039
2019-2020,Andhra Pradesh,28,Konaseema,747,Ambajipeta,4870,0,8713,8181,6155
2019-2020,Andhra Pradesh,28,East Godavari,505,Anaparthi,4871,0,6379,6625,4785
2019-2020,Andhra Pradesh,28,Konaseema,747,Atreyapuram,4872,0,7218,6723,5043
2019-2020,Andhra Pradesh,28,East Godavari,505,Biccavolu,4873,0,8039,9585,7448
2019-2020,Andhra Pradesh,28,Alluri Sitharama Raju,745,Chintur,5062,0,9226,8727,7546
2019-2020,Andhra Pradesh,28,Alluri Sitharama Raju,745,Devipatnam,4874,0,7579,5638,4713
2019-2020,Andhra Pradesh,28,Kakinada,746,Gandepalle,4875,1,9930,8472,6366
2019-2020,Andhra Pradesh,28,Alluri Sitharama Raju,745,Gangavaram,4876,0,7116,8015,7415
2019-2020,Andhra Pradesh,28,East Godavari,505,Gokavaram,4877,0,12642,10493,8376
2019-2020,Andhra Pradesh,28,Kakinada,746,Gollaprolu,4878,0,7694,7936,4816
2019-2020,Andhra Pradesh,28,Konaseema,747,I Polavaram,4879,1,8331,9656,6322
2019-2020,Andhra Pradesh,28,Kakinada,746,Jaggampeta,4880,1,13863,14425,10357
2019-2020,Andhra Pradesh,28,Konaseema,747,K.Gangavaram,4898,0,11555,11643,8970
2019-2020,Andhra Pradesh,28,East Godavari,505,Kadiam,4881,0,4154,4259,1645
2019-2020,Andhra Pradesh,28,Kakinada,746,Kajuluru,4882,1,9679,10084,6745
2019-2020,Andhra Pradesh,28,Kakinada,746,Kakinada (Rural),4883,0,8076,11590,6137
2019-2020,Andhra Pradesh,28,Konaseema,747,Kapileswarapuram,4884,1,9252,10047,6752
2019-2020,Andhra Pradesh,28,Kakinada,746,Karapa,4885,5,9089,10222,6317
2019-2020,Andhra Pradesh,28,Konaseema,747,Katrenikona,4886,2,9347,10121,6691
2019-2020,Andhra Pradesh,28,Kakinada,746,Kirlampudi,4887,1,9164,8449,5534
2019-2020,Andhra Pradesh,28,East Godavari,505,Korukonda,4888,2,8736,7577,6122
2019-2020,Andhra Pradesh,28,Kakinada,746,Kotananduru,4889,0,10705,11432,9639
2019-2020,Andhra Pradesh,28,Konaseema,747,Kothapeta,4891,1,8576,10001,7439
2019-2020,Andhra Pradesh,28,Alluri Sitharama Raju,745,Kunavaram,5076,0,6948,6750,5522
2019-2020,Andhra Pradesh,28,Konaseema,747,Malikipuram,4892,1,5070,5466,3072
2019-2020,Andhra Pradesh,28,Konaseema,747,Mamidikuduru,4893,0,4386,4546,2602
2019-2020,Andhra Pradesh,28,Konaseema,747,Mandapeta,4894,0,6455,10169,6306
2019-2020,Andhra Pradesh,28,Alluri Sitharama Raju,745,Maredumilli,4895,0,5154,3944,3422
2019-2020,Andhra Pradesh,28,Konaseema,747,Mummidivaram,4896,0,7654,7182,4984
2019-2020,Andhra Pradesh,28,Alluri Sitharama Raju,745,Nellipaka,6829,1,9176,9542,8270
2019-2020,Andhra Pradesh,28,Konaseema,747,P Gannavaram,4897,0,8328,8789,6490
2019-2020,Andhra Pradesh,28,Kakinada,746,Pedapudi,4899,1,8162,11106,6286
2019-2020,Andhra Pradesh,28,Kakinada,746,Peddapuram,4900,0,8006,8025,4863
2019-2020,Andhra Pradesh,28,Kakinada,746,Pithapuram,4901,0,9770,10230,6716
2019-2020,Andhra Pradesh,28,Kakinada,746,Prathipadu,4902,7,13151,11589,8602
2019-2020,Andhra Pradesh,28,East Godavari,505,Rajahmundry(Rural),4903,0,5183,3126,2658
2019-2020,Andhra Pradesh,28,East Godavari,505,Rajanagaram,4904,1,9766,11068,6595
2019-2020,Andhra Pradesh,28,Alluri Sitharama Raju,745,Rajavommangi,4905,0,10830,8947,8364
2019-2020,Andhra Pradesh,28,Konaseema,747,Ramachandrapuram,4906,2,10920,11280,8342
