state_name,district_name,block_name,state_code,district_code,block_code,total_shg_loan_amount
Andhra Pradesh,Eluru,Denduluru,28,748,5715,79480000
Andhra Pradesh,Eluru,Dwarakatirumala,28,748,5717,73639000
Andhra Pradesh,Eluru,Eluru,28,748,5719,119004579
Andhra Pradesh,Eluru,Ganapavaram,28,748,5720,14950000
Andhra Pradesh,Eluru,Jangareddigudem,28,748,5723,27158000
Andhra Pradesh,Eluru,Jeelugumilli,28,748,5724,9453000
Andhra Pradesh,Eluru,Kaikalur,28,748,5116,32223642
Andhra Pradesh,Eluru,Kalidindi,28,748,5117,38475000
Andhra Pradesh,Eluru,Kamavarapukota,28,748,5726,117634000
Andhra Pradesh,Eluru,Koyyalagudem,28,748,5728,50671000
Andhra Pradesh,Eluru,Kukkunur,28,748,5075,50000
Andhra Pradesh,Eluru,Lingapalem,28,748,5729,67340000
Andhra Pradesh,Eluru,Mandavalli,28,748,5123,64779500
Andhra Pradesh,Eluru,Mudinepalle,28,748,5126,60691000
Andhra Pradesh,Eluru,Musunuru,28,748,5127,37785000
Andhra Pradesh,Eluru,Nidamarru,28,748,5734,30620000
Andhra Pradesh,Eluru,Nuzvid,28,748,5132,134810044
Andhra Pradesh,Eluru,Pedapadu,28,748,5737,104311600
Andhra Pradesh,Eluru,Pedavegi,28,748,5738,133147200
Andhra Pradesh,Eluru,Polavaram,28,748,5744,42065000
Andhra Pradesh,Eluru,T.Narasapuram,28,748,5745,69090000
Andhra Pradesh,Eluru,Unguturu,28,748,5751,69625000
Andhra Pradesh,Eluru,Velairpad,28,748,5092,350000
Andhra Pradesh,Guntur,Chebrole,28,506,4930,80105000
Andhra Pradesh,Guntur,Duggirala,28,506,4934,59292814
Andhra Pradesh,Guntur,Guntur,28,506,4937,25075000
Andhra Pradesh,Guntur,Kakumanu,28,506,4940,29895000
Andhra Pradesh,Guntur,Kollipara,28,506,4943,32463000
Andhra Pradesh,Guntur,Mangalagiri,28,506,4948,67330000
Andhra Pradesh,Guntur,Medikonduru,28,506,4949,14410000
Andhra Pradesh,Guntur,Pedakakani,28,506,4957,40900000
Andhra Pradesh,Guntur,Pedanandipadu,28,506,4959,22125000
Andhra Pradesh,Guntur,Phirangipuram,28,506,4960,5785000
Andhra Pradesh,Guntur,Ponnur,28,506,4963,54350000
Andhra Pradesh,Guntur,Prathipadu,28,506,4964,33585000
Andhra Pradesh,Guntur,Tadepalle,28,506,4971,58747921
Andhra Pradesh,Guntur,Tadikonda,28,506,4972,38092301
Andhra Pradesh,Guntur,Tenali,28,506,4973,32160000
Andhra Pradesh,Guntur,Thullur,28,506,4974,74220000
Andhra Pradesh,Guntur,Vatticherukuru,28,506,4976,48936000
Andhra Pradesh,Kakinada,Gandepalle,28,746,4875,26710000
