year,state_code,state_name,district_code,district_name,block_code,block_name,num_jobcards_applied,num_jobcards_issued,total_reg_workers,women_reg_workers,num_of_active_job_cards
2019-2020,28,Andhra Pradesh,752,Tirupati,4806,Vadamalapeta,8185,8185,10166,6020,5090
2019-2020,28,Andhra Pradesh,752,Tirupati,4804,Tirupati Rural,12670,12670,10533,7176,4297
2019-2020,28,Andhra Pradesh,752,Tirupati,4790,Ramachandrapuram,9250,9250,12140,6684,5436
2019-2020,28,Andhra Pradesh,752,Tirupati,4753,Chandragiri,11818,11818,10251,5965,5398
2019-2020,28,Andhra Pradesh,752,Tirupati,4754,Chinnagottigallu,6548,6548,10698,5434,5168
2019-2020,28,Andhra Pradesh,503,Chittoor,4794,Rompicherla,8102,8102,14195,7285,5343
2019-2020,28,Andhra Pradesh,753,Annamayya,4784,Pileru,11664,11664,16860,9160,6408
2019-2020,28,Andhra Pradesh,753,Annamayya,4765,Kalikiri,11771,11771,14237,7787,5573
2019-2020,28,Andhra Pradesh,753,Annamayya,4807,Vayalpad,10157,10157,14018,7315,4849
2019-2020,28,Andhra Pradesh,753,Annamayya,4775,Nimmanapalle,7643,7643,11113,5861,3836
2019-2020,28,Andhra Pradesh,753,Annamayya,4770,Madanapalle,11073,11073,12115,7073,4988
2019-2020,28,Andhra Pradesh,753,Annamayya,4792,Ramasamudram,9952,9952,14282,7294,4921
2019-2020,28,Andhra Pradesh,503,Chittoor,4787,Punganur,11864,11864,18961,10179,5841
2019-2020,28,Andhra Pradesh,503,Chittoor,4756,Chowdepalle,10196,10196,13968,7330,4832
2019-2020,28,Andhra Pradesh,503,Chittoor,4798,Somala,10221,10221,14592,7595,5898
2019-2020,28,Andhra Pradesh,503,Chittoor,4797,Sodam,9133,9133,13599,6922,5381
2019-2020,28,Andhra Pradesh,503,Chittoor,4786,Pulicherla,10308,10308,16090,8326,6366
2019-2020,28,Andhra Pradesh,752,Tirupati,4777,Pakala,11877,11877,12479,6534,5966
2019-2020,28,Andhra Pradesh,503,Chittoor,4809,Veduru Kuppam,11768,11768,15761,8384,6198
2019-2020,28,Andhra Pradesh,752,Tirupati,4789,Puttur,5747,5747,7242,4180,3426
2019-2020,28,Andhra Pradesh,503,Chittoor,4773,Nagari,7613,7613,11654,7153,5126
2019-2020,28,Andhra Pradesh,503,Chittoor,4767,Karvetinagar,9481,9481,13191,7459,6099
2019-2020,28,Andhra Pradesh,503,Chittoor,4800,Srirangarajapuram,9502,9502,14427,7851,6407
2019-2020,28,Andhra Pradesh,503,Chittoor,4779,Palasamudram,4839,4839,7059,4064,3270
2019-2020,28,Andhra Pradesh,503,Chittoor,4757,Gangadhara Nellore,16046,16046,20236,11144,7995
2019-2020,28,Andhra Pradesh,503,Chittoor,4783,Penumuru,9465,9465,13775,7255,5270
2019-2020,28,Andhra Pradesh,503,Chittoor,4788,Puthalapattu,11641,11641,13040,6658,5668
2019-2020,28,Andhra Pradesh,503,Chittoor,4762,Irala,12759,12759,16930,8803,6966
2019-2020,28,Andhra Pradesh,503,Chittoor,4802,Thavanampalle,12613,12613,11737,6285,5780
2019-2020,28,Andhra Pradesh,503,Chittoor,4755,Chittoor,5696,5696,9006,4980,3870
2019-2020,28,Andhra Pradesh,503,Chittoor,4759,Gudipala,9884,9884,9604,5523,4745
2019-2020,28,Andhra Pradesh,503,Chittoor,4812,Yadamari,9917,9917,12452,7009,4659
2019-2020,28,Andhra Pradesh,503,Chittoor,4751,Bangarupalem,17332,17332,21901,11965,7220
2019-2020,28,Andhra Pradesh,503,Chittoor,4778,Palamaner,7723,7723,9989,5203,3669
2019-2020,28,Andhra Pradesh,503,Chittoor,4758,Gangavaram,12855,12855,16449,8531,7428
2019-2020,28,Andhra Pradesh,503,Chittoor,4781,Pedda Panjani,11525,11525,14056,7451,6009
2019-2020,28,Andhra Pradesh,503,Chittoor,4750,Baireddi Palle,11961,11961,19663,10217,5880
2019-2020,28,Andhra Pradesh,503,Chittoor,4810,Venkatagiri Kota,16364,16364,24828,13160,8820
2019-2020,28,Andhra Pradesh,503,Chittoor,4791,Rama Kuppam,14280,14280,27190,13947,8592
2019-2020,28,Andhra Pradesh,503,Chittoor,4795,Santhi Puram,12945,12945,23003,12234,8493
2019-2020,28,Andhra Pradesh,503,Chittoor,4760,Gudi Palle,10497,10497,14074,8393,5115
2019-2020,28,Andhra Pradesh,503,Chittoor,4768,Kuppam,20385,20385,22126,12625,9056
2019-2020,28,Andhra Pradesh,745,Alluri Sitharama Raju,4895,Maredumilli,5988,5988,7911,4097,3983
2019-2020,28,Andhra Pradesh,745,Alluri Sitharama Raju,4920,Y Ramavaram,8746,8746,13567,7094,5940
2019-2020,28,Andhra Pradesh,745,Alluri Sitharama Raju,4865,Addateegala,12545,12545,15745,8134,8413
2019-2020,28,Andhra Pradesh,745,Alluri Sitharama Raju,4905,Rajavommangi,12551,12551,17396,9090,8945
