state_name,state_code,district_name,district_code,block_name,block_code,gw_stge_of_extraction,gw_extraction_category
Haryana,6,Ambala,58,Barara,449,138.23603646028312,Over-exploited
Haryana,6,Ambala,58,Naraingarh,450,157.21149389150213,Over-exploited
Haryana,6,Ambala,58,Saha,451,180.39923339223927,Over-exploited
Haryana,6,Ambala,58,Shahzadpur,452,98.01253732,Critical
Haryana,6,Bhiwani,59,Bawani Khera,454,74.48456324,Semi-critical
Haryana,6,Bhiwani,59,Behal,455,143.8118047,Over-exploited
Haryana,6,Bhiwani,59,Bhiwani,456,89.99865151,Semi-critical
Haryana,6,Bhiwani,59,Kairu,459,187.41445670246085,Over-exploited
Haryana,6,Bhiwani,59,Loharu,460,143.7081341818726,Over-exploited
Haryana,6,Bhiwani,59,Siwani,461,48.27817820145186,Safe
Haryana,6,Bhiwani,59,Tosham,462,149.1451460327198,Over-exploited
Haryana,6,Faridabad,60,Ballabgarh,463,152.66735648142085,Over-exploited
Haryana,6,Faridabad,60,Faridabad,464,115.69003182288884,Over-exploited
Haryana,6,Faridabad,60,Tigaon,7093,120.9539596563317,Over-exploited
Haryana,6,Fatehabad,61,Bhattu Kalan,469,112.23364203990988,Over-exploited
Haryana,6,Fatehabad,61,Bhuna,470,96.89037738320204,Critical
Haryana,6,Fatehabad,61,Fatehabad,471,185.11400868426145,Over-exploited
Haryana,6,Fatehabad,61,Jakhal,472,220.07350561623628,Over-exploited
Haryana,6,Fatehabad,61,Ratia,473,215.50645398792616,Over-exploited
Haryana,6,Fatehabad,61,Tohana,474,133.0562468858561,Over-exploited
Haryana,6,Fatehabad,61,Nagpur,7094,249.0719654684825,Over-exploited
Haryana,6,Gurugram,62,Farrukh Nagar,475,158.89046641367622,Over-exploited
Haryana,6,Gurugram,62,Gurgaon,477,263.9722062795638,Over-exploited
Haryana,6,Gurugram,62,Pataudi,480,172.61994072907382,Over-exploited
Haryana,6,Gurugram,62,Sohna,482,172.0266047714396,Over-exploited
Haryana,6,Hisar,63,Adampur,484,91.81873677152709,Critical
Haryana,6,Hisar,63,Agroha,485,95.29892254830014,Critical
Haryana,6,Hisar,63,Barwala,486,119.6365983308981,Over-exploited
Haryana,6,Hisar,63,Hansi-I,487,80.68727019906082,Semi-critical
Haryana,6,Hisar,63,Hansi-Ii,488,64.53765147,Safe
Haryana,6,Hisar,63,Hisar-I,489,76.21265350775822,Semi-critical
Haryana,6,Hisar,63,Hisar-Ii,490,78.27978553926523,Semi-critical
Haryana,6,Hisar,63,Narnaund,491,160.8459468895689,Over-exploited
Haryana,6,Hisar,63,Uklana,492,20.29220779,Safe
Haryana,6,Jhajjar,64,Bahadurgarh,493,48.71715523201481,Safe
Haryana,6,Jhajjar,64,Beri,494,33.31231330403481,Safe
Haryana,6,Jhajjar,64,Jhajjar,495,51.93048698417614,Safe
Haryana,6,Jhajjar,64,Matannail,496,33.86521372510865,Safe
Haryana,6,Jhajjar,64,Salhawas,497,45.49600743171127,Safe
Haryana,6,Jhajjar,64,Badli,7095,71.08898015058178,Semi-critical
Haryana,6,Jhajjar,64,Machhrauli,7357,65.54864811021491,Safe
Haryana,6,Jind,65,Alewa,498,123.43695412416686,Over-exploited
Haryana,6,Jind,65,Jind,499,122.84894987337938,Over-exploited
Haryana,6,Jind,65,Julana,500,49.75782833033914,Safe
Haryana,6,Jind,65,Narwana,501,65.90015285594136,Safe
Haryana,6,Jind,65,Pillukhera,502,79.47980059275713,Semi-critical
Haryana,6,Jind,65,Safidon,503,144.77645084263938,Over-exploited
Haryana,6,Jind,65,Uchana,504,114.39217236608026,Over-exploited
Haryana,6,Jind,65,Ujhana,7096,140.17806015143483,Over-exploited
Haryana,6,Kaithal,66,Guhla,505,241.78525269594667,Over-exploited
