as_on,state_name,state_code,district_name,district_code,block_name,block_code,sc_population,st_population,gen_population
01-04-2021,Andhra Pradesh,28,Chittoor,503,Palasamudram,4779,10015,545,16018
01-04-2021,Andhra Pradesh,28,Chittoor,503,Peddamandyam,4780,2583,3532,30719
01-04-2021,Andhra Pradesh,28,Chittoor,503,Peddapanjani,4781,10731,619,48418
01-04-2021,Andhra Pradesh,28,Chittoor,503,Penumuru,4783,10602,1339,30128
01-04-2021,Andhra Pradesh,28,Chittoor,503,Pichatur,4785,11364,1778,22908
01-04-2021,Andhra Pradesh,28,Chittoor,503,Pileru,4784,8201,2536,55301
01-04-2021,Andhra Pradesh,28,Chittoor,503,Pulicherla H/O Reddivaripalle,4786,6608,835,30767
01-04-2021,Andhra Pradesh,28,Chittoor,503,Punganur,4787,10575,2774,42295
01-04-2021,Andhra Pradesh,28,Chittoor,503,Puthalapattu,4788,12754,1531,37099
01-04-2021,Andhra Pradesh,28,Chittoor,503,Puttur,4789,9553,2863,12474
01-04-2021,Andhra Pradesh,28,Chittoor,503,Ramakuppam,4791,12108,6198,44732
01-04-2021,Andhra Pradesh,28,Chittoor,503,Ramachandrapuram,4790,7550,1236,23063
01-04-2021,Andhra Pradesh,28,Chittoor,503,Ramasamudram,4792,8431,334,42774
01-04-2021,Andhra Pradesh,28,Chittoor,503,Renigunta,4793,23933,4787,64299
01-04-2021,Andhra Pradesh,28,Chittoor,503,Rompicherla,4794,4430,553,24499
01-04-2021,Andhra Pradesh,28,Chittoor,503,Santhipuram Ho Arimuthanapalle,4795,7422,485,66268
01-04-2021,Andhra Pradesh,28,Chittoor,503,Satyavedu,4796,16363,3652,33115
01-04-2021,Andhra Pradesh,28,Chittoor,503,Sodam,4797,4707,767,30284
01-04-2021,Andhra Pradesh,28,Chittoor,503,Somala,4798,5074,1495,38385
01-04-2021,Andhra Pradesh,28,Chittoor,503,Srikalahasti,4799,21331,6202,31689
01-04-2021,Andhra Pradesh,28,Chittoor,503,Srirangarajapuram,4800,15949,1098,24500
01-04-2021,Andhra Pradesh,28,Chittoor,503,Thamballapalle,4801,3541,2317,35980
01-04-2021,Andhra Pradesh,28,Chittoor,503,Thavanampalle,4802,18549,1395,37376
01-04-2021,Andhra Pradesh,28,Chittoor,503,Thottambedu,4803,14283,4455,26511
01-04-2021,Andhra Pradesh,28,Chittoor,503,Tirupati Rural,4804,23143,4522,140394
01-04-2021,Andhra Pradesh,28,Chittoor,503,Vadamalapeta,4806,8798,3281,22467
01-04-2021,Andhra Pradesh,28,Chittoor,503,Valmikipuram,4807,7134,439,37940
01-04-2021,Andhra Pradesh,28,Chittoor,503,Varadaiahpalem,4808,15651,4398,23442
01-04-2021,Andhra Pradesh,28,Chittoor,503,Vedurukuppam,4809,13490,1276,32795
01-04-2021,Andhra Pradesh,28,Chittoor,503,Venkatagiri Kota,4810,13025,2941,80033
01-04-2021,Andhra Pradesh,28,Chittoor,503,Vijaya Puram,4811,10964,2282,19843
01-04-2021,Andhra Pradesh,28,Chittoor,503,Yadamari,4812,13078,905,35963
01-04-2021,Andhra Pradesh,28,Chittoor,503,Yerpedu,4813,13366,6447,37691
01-04-2021,Andhra Pradesh,28,Chittoor,503,Yerravaripalem,4814,4645,1223,22640
01-04-2021,Andhra Pradesh,28,East Godavari,505,Addateegala,4865,2056,27175,10599
01-04-2021,Andhra Pradesh,28,East Godavari,505,Ainavilli,4866,23723,465,46303
01-04-2021,Andhra Pradesh,28,East Godavari,505,Alamuru,4867,11866,869,66473
01-04-2021,Andhra Pradesh,28,East Godavari,505,Allavaram,4868,23777,521,48671
01-04-2021,Andhra Pradesh,28,East Godavari,505,Amalapuram,4869,27074,561,68027
01-04-2021,Andhra Pradesh,28,East Godavari,505,Ambajipeta,4870,21649,606,46410
01-04-2021,Andhra Pradesh,28,East Godavari,505,Anaparthi,4871,8898,559,68053
01-04-2021,Andhra Pradesh,28,East Godavari,505,Atreyapuram,4872,15934,403,52509
01-04-2021,Andhra Pradesh,28,East Godavari,505,Biccavolu,4873,12447,711,63897
01-04-2021,Andhra Pradesh,28,East Godavari,505,Chintoor,5062,1490,36452,4356
01-04-2021,Andhra Pradesh,28,East Godavari,505,Devipatnam,4874,1665,16849,10140
01-04-2021,Andhra Pradesh,28,East Godavari,505,Gandepalli,4875,10114,400,50556
01-04-2021,Andhra Pradesh,28,East Godavari,505,Gangavaram,4876,1709,20518,6779
01-04-2021,Andhra Pradesh,28,East Godavari,505,Gokavaram,4877,15626,4268,70947
01-04-2021,Andhra Pradesh,28,East Godavari,505,Gollaprolu,4878,10869,119,49213
01-04-2021,Andhra Pradesh,28,East Godavari,505,I Polavaram,4879,19213,305,52860
01-04-2021,Andhra Pradesh,28,East Godavari,505,Jaggampeta,4880,12448,1518,75773
01-04-2021,Andhra Pradesh,28,East Godavari,505,Kadiam,4881,17629,778,72092
01-04-2021,Andhra Pradesh,28,East Godavari,505,Kajuluru,4882,16966,629,58271
01-04-2021,Andhra Pradesh,28,East Godavari,505,Kakinada Rural,4883,19093,871,159587
01-04-2021,Andhra Pradesh,28,East Godavari,505,Kapileswarapuram,4884,14012,347,52915
01-04-2021,Andhra Pradesh,28,East Godavari,505,Karapa,4885,12504,441,68996
